source_file,window,source_tag,source_mode,source_tier,source_champion,item_id,item_en,item_zh,games,winrate,pickrate
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,2503,Blackfire Torch,黑焰火炬,0,49.71,5.17
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,6653,Liandry's Torment,黎安卓的折磨,0,44.53,7.84
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,8010,Bloodletter's Curse,血書詛咒,0,34.21,0.56
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223089,Rabadon's Deathcap,死亡之帽,0,50.77,50.96
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223100,Lich Bane,巫妖之禍,0,47.62,0.31
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223102,Banshee's Veil,女妖面紗,0,50.0,2.45
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223118,Malignance,惡意,0,50.35,46.57
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223135,Void Staff,虛空之杖,0,45.71,23.58
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223137,Cryptbloom,死墓之花,0,48.41,4.18
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223157,Zhonya's Hourglass,中婭沙漏,0,49.76,6.12
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223165,Morellonomicon,黑魔禁書,0,40.58,4.55
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224628,Horizon Focus,視界專注,0,49.83,30.12
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224629,Cosmic Drive,星河馳騁,0,50.98,0.75
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224645,Shadowflame,黯影之炎,0,49.17,61.43
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224646,Stormsurge,雷霆風暴,0,50.92,48.89
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,226655,Luden's Companion,盧登之伴,0,51.29,62.98
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323003,Archangel's Staff,大天使之杖,0,52.05,6.14
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323107,Redemption,贖罪神石,0,51.72,0.43
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323504,Ardent Censer,熾灼魔器,0,55.56,0.4
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,324005,Imperial Mandate,帝王命令,0,51.61,0.46
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326616,Staff of Flowing Water,流水之杖,0,62.5,0.47
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326617,Moonstone Renewer,月之石再生裝置,0,77.42,0.46
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326621,Dawncore,破曉之核,0,65.38,0.38
